pfamID	Uniprot_ID	seq id	alignment start	alignment end	Pfam_description.
A0A024RBG1	NUD4B_HUMAN	NUDT4B	17	144	NUDIX domain
O95848	NUD14_HUMAN	NUDT14	38	202	NUDIX domain
O95989	NUDT3_HUMAN	NUDT3	16	143	NUDIX domain
P0C024	NUDT7_HUMAN	NUDT7	38	166	NUDIX domain
P0C025	NUD17_HUMAN	NUDT17	90	234	NUDIX domain
P36639	8ODP_HUMAN	NUDT1	45	168	NUDIX domain
P50583	AP4A_HUMAN	NUDT2	12	137	NUDIX domain
P53370	NUDT6_HUMAN	NUDT6	141	270	NUDIX domain
Q13907	IDI1_HUMAN	IDI1	49	197	NUDIX domain
Q6ZVK8	NUD18_HUMAN	NUDT18	43	163	NUDIX domain
Q86X67	NUD13_HUMAN	NUDT13	196	319	NUDIX domain
Q8IU60	DCP2_HUMAN	DCP2	95	221	NUDIX domain
Q8NFP7	NUD10_HUMAN	NUDT10	16	143	NUDIX domain
Q8WV74	NUDT8_HUMAN	NUDT8	29	159	NUDIX domain
Q96DE0	NUD16_HUMAN	NUDT16	34	142	NUDIX domain
Q96G61	NUD11_HUMAN	NUDT11	16	143	NUDIX domain
Q9BQG2	NUD12_HUMAN	NUDT12	320	441	NUDIX domain
Q9BW91	NUDT9_HUMAN	NUDT9	191	331	NUDIX domain
Q9BXS1	IDI2_HUMAN	IDI2	49	197	NUDIX domain
Q9NV35	NUD15_HUMAN	NUDT15	11	144	NUDIX domain
Q9NZJ9	NUDT4_HUMAN	NUDT4	17	143	NUDIX domain
Q9UKK9	NUDT5_HUMAN	NUDT5	58	196	NUDIX domain
A0A075B6H7	KV37_HUMAN	IGKV3-7	26	115	Immunoglobulin V-set domain
A0A075B6H8	KVD42_HUMAN	IGKV1D-42	28	117	Immunoglobulin V-set domain
A0A075B6H9	LV469_HUMAN	IGLV4-69	25	119	Immunoglobulin V-set domain
A0A075B6I0	LV861_HUMAN	IGLV8-61	29	122	Immunoglobulin V-set domain
A0A075B6I1	LV460_HUMAN	IGLV4-60	26	120	Immunoglobulin V-set domain
A0A075B6I3	LVK55_HUMAN	IGLV11-55	24	123	Immunoglobulin V-set domain
A0A075B6I4	LVX54_HUMAN	IGLV10-54	24	116	Immunoglobulin V-set domain
A0A075B6I6	LV150_HUMAN	IGLV1-50	24	117	Immunoglobulin V-set domain
A0A075B6I7	LV548_HUMAN	IGLV5-48	24	105	Immunoglobulin V-set domain
A0A075B6I9	LV746_HUMAN	IGLV7-46	24	116	Immunoglobulin V-set domain
A0A075B6J1	LV537_HUMAN	IGLV5-37	24	123	Immunoglobulin V-set domain
A0A075B6J2	LV233_HUMAN	IGLV2-33	24	118	Immunoglobulin V-set domain
A0A075B6J6	LV322_HUMAN	IGLV3-22	24	115	Immunoglobulin V-set domain
A0A075B6J9	LV218_HUMAN	IGLV2-18	24	118	Immunoglobulin V-set domain
A0A075B6K0	LV316_HUMAN	IGLV3-16	24	115	Immunoglobulin V-set domain
A0A075B6K2	LV312_HUMAN	IGLV3-12	24	115	Immunoglobulin V-set domain
A0A075B6K4	LV310_HUMAN	IGLV3-10	24	115	Immunoglobulin V-set domain
A0A075B6K5	LV39_HUMAN	IGLV3-9	24	115	Immunoglobulin V-set domain
A0A075B6K6	LV403_HUMAN	IGLV4-3	24	121	Immunoglobulin V-set domain
A0A075B6L6	TVB73_HUMAN	TRBV7-3	25	112	Immunoglobulin V-set domain
A0A075B6N1	TVB19_HUMAN	TRBV19	25	114	Immunoglobulin V-set domain
A0A075B6N2	TVBT1_HUMAN	TRBV20-1	20	111	Immunoglobulin V-set domain
A0A075B6N3	TVBX1_HUMAN	TRBV24-1	25	114	Immunoglobulin V-set domain
A0A075B6N4	TVBY1_HUMAN	TRBV25-1	25	114	Immunoglobulin V-set domain
A0A075B6P5	KV228_HUMAN	IGKV2-28	26	119	Immunoglobulin V-set domain
A0A075B6Q5	HV364_HUMAN	IGHV3-64	25	118	Immunoglobulin V-set domain
A0A075B6R0	TRGV2_HUMAN	TRGV2	25	118	Immunoglobulin V-set domain
A0A075B6R2	HV404_HUMAN	IGHV4-4	24	117	Immunoglobulin V-set domain
A0A075B6R9	KVD24_HUMAN	IGKV2D-24	26	119	Immunoglobulin V-set domain
A0A075B6S2	KVD29_HUMAN	IGKV2D-29	26	118	Immunoglobulin V-set domain
A0A075B6S4	KVD17_HUMAN	IGKV1D-17	28	117	Immunoglobulin V-set domain
A0A075B6S5	KV127_HUMAN	IGKV1-27	28	117	Immunoglobulin V-set domain
A0A075B6S6	KVD30_HUMAN	IGKV2D-30	26	118	Immunoglobulin V-set domain
A0A075B6S9	KV137_HUMAN	IGKV1-37	28	115	Immunoglobulin V-set domain
A0A075B6T6	TVAL2_HUMAN	TRAV12-2	27	113	Immunoglobulin V-set domain
A0A075B6T7	TVA6_HUMAN	TRAV6	45	132	Immunoglobulin V-set domain
A0A075B6T8	TVA91_HUMAN	TRAV9-1	25	112	Immunoglobulin V-set domain
A0A075B6U4	TVA7_HUMAN	TRAV7	27	112	Immunoglobulin V-set domain
A0A075B6V5	TVA36_HUMAN	TRAV36DV7	27	113	Immunoglobulin V-set domain
A0A075B6W5	TVA23_HUMAN	TRAV23DV6	34	121	Immunoglobulin V-set domain
A0A075B6X5	TVA18_HUMAN	TRAV18	25	111	Immunoglobulin V-set domain
A0A087WSX0	LV545_HUMAN	IGLV5-45	24	123	Immunoglobulin V-set domain
A0A087WSY4	HV432_HUMAN	IGHV4-30-2	24	118	Immunoglobulin V-set domain
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	26	114	Immunoglobulin V-set domain
A0A087WSZ0	KVD08_HUMAN	IGKV1D-8	28	116	Immunoglobulin V-set domain
A0A087WSZ9	TVA30_HUMAN	TRAV30	26	112	Immunoglobulin V-set domain
