seq id	alignment start	alignment end	envelope start	envelope end	hmm acc	hmm name	type	hmm start	hmm end	hmm length	bit score	E-value	significance	clan
BLK	64	110	64	110	PF00018.31	SH3_1	Domain	1	48	48.0	53.8	1.1e-14	1	CL0010
BLK	124	205	124	205	PF00017.27	SH2	Domain	1	77	77.0	79.2	2e-22	1	CL0541
BLK	241	489	241	490	PF07714.20	PK_Tyr_Ser-Thr	Domain	1	258	259.0	305.0	3.9e-91	1	CL0016
BDP1	293	379	293	399	PF15963.8	Myb_DNA-bind_7	Domain	1	87	88.0	92.7	9.7e-27	1	CL0123
BRD4	70	150	67	152	PF00439.28	Bromodomain	Domain	4	82	84.0	72.0	3.5e-20	1	No_clan
BRD4	357	444	357	445	PF00439.28	Bromodomain	Domain	1	83	84.0	71.6	4.5e-20	1	No_clan
BRD4	609	672	609	673	PF17035.8	BET	Domain	1	63	64.0	96.9	6.200000000000001e-28	1	CL0665
BRD4	1319	1362	1319	1362	PF17105.8	BRD4_CDT	Family	1	44	44.0	81.6	2.1e-23	1	No_clan
CCDC9	206	374	205	376	PF15266.9	DUF4594	Family	2	175	177.0	188.5	1.3e-55	1	No_clan
CDH3	114	205	112	206	PF00028.20	Cadherin	Domain	3	92	93.0	47.8	1.6e-12	1	CL0159
CDH3	221	318	220	319	PF00028.20	Cadherin	Domain	2	92	93.0	70.7	1.1e-19	1	CL0159
CDH3	333	431	333	432	PF00028.20	Cadherin	Domain	1	92	93.0	64.6	9.5e-18	1	CL0159
CDH3	446	537	445	539	PF00028.20	Cadherin	Domain	2	91	93.0	64.3	1.2e-17	1	CL0159
CDH3	765	824	765	824	PF01049.20	CADH_Y-type_LIR	Family	1	60	60.0	99.9	6.7e-29	1	No_clan
C1QTNF3	54	110	40	115	PF01391.21	Collagen	Repeat	1	57	60.0	38.8	6.3e-10	1	No_clan
C1QTNF3	119	242	119	242	PF00386.24	C1q	Domain	1	127	127.0	119.0	1.6e-34	1	CL0100
C1S	19	127	16	127	PF00431.23	CUB	Domain	8	110	110.0	64.4	1.1e-17	1	CL0164
C1S	142	171	135	171	PF14670.9	FXa_inhibition	Domain	7	36	36.0	34.0	2.9e-08	1	CL0001
C1S	175	287	175	287	PF00431.23	CUB	Domain	1	110	110.0	88.4	3.9999999999999997e-25	1	CL0164
C1S	294	354	294	354	PF00084.23	Sushi	Domain	1	56	56.0	32.6	9.1e-08	1	CL0001
C1S	359	413	359	421	PF00084.23	Sushi	Domain	1	53	56.0	37.9	2.1e-09	1	CL0001
C1S	438	675	438	675	PF00089.29	Trypsin	Domain	1	221	221.0	183.8	4.2e-54	1	CL0124
CA14	28	278	28	278	PF00194.24	Carb_anhydrase	Domain	1	254	254.0	287.0	1.5e-85	1	No_clan
C2CD6	84	502	84	502	PF15729.8	ALS2CR11	Family	1	417	417.0	761.1	3.7e-229	1	No_clan
CAP1	6	62	5	62	PF01213.22	CAP_N	Family	2	78	78.0	42.3	1.2e-10	1	No_clan
CAP1	319	472	318	473	PF08603.14	CAP_C	Family	2	157	158.0	215.9	2.3e-64	1	CL0391
CCDC30	228	610	227	610	PF15742.8	DUF4686	Coiled-coil	2	384	384.0	577.8	1.1e-173	1	No_clan
IMPACT	11	112	10	113	PF05773.25	RWD	Domain	2	115	116.0	64.9	8e-18	1	CL0208
IMPACT	182	289	182	289	PF01205.22	UPF0029	Family	1	108	108.0	122.6	8.6e-36	1	CL0329
INO80D	18	78	18	79	PF13891.9	zf-C3Hc3H	Domain	1	61	62.0	58.9	4.9e-16	1	No_clan
INO80D	453	511	447	511	PF13891.9	zf-C3Hc3H	Domain	4	62	62.0	61.8	5.9e-17	1	No_clan
KCNRG	7	94	7	98	PF02214.25	BTB_2	Domain	1	89	94.0	61.4	8.9e-17	1	CL0033
KCTD7	53	138	53	141	PF02214.25	BTB_2	Domain	1	91	94.0	67.1	1.5e-18	1	CL0033
KRTCAP3	19	204	19	206	PF12304.11	BCLP	Family	1	182	184.0	241.5	4.700000000000001e-72	1	No_clan
KRTAP29-1	115	159	115	167	PF13885.9	Keratin_B2_2	Family	1	45	45.0	19.7	0.00066	1	CL0520
KRTAP29-1	166	209	165	209	PF13885.9	Keratin_B2_2	Family	2	45	45.0	30.1	3.8e-07	1	CL0520
KDM1A	185	264	177	264	PF04433.20	SWIRM	Domain	9	90	90.0	61.2	1e-16	1	CL0123
KDM1A	288	825	288	826	PF01593.27	Amino_oxidase	Domain	1	451	452.0	449.5	1.9e-134	1	CL0063
CKMT1A	58	127	57	127	PF02807.18	ATP-gua_PtransN	Domain	2	67	67.0	98.1	3.1000000000000004e-28	1	No_clan
CKMT1A	186	399	186	400	PF00217.22	ATP-gua_Ptrans	Domain	1	211	212.0	277.1	8.5e-83	1	CL0286
MINDY2	273	395	272	395	PF04424.16	MINDY_DUB	Family	2	117	117.0	127.6	2.4e-37	1	No_clan
KRTAP5-2	132	174	132	176	PF13885.9	Keratin_B2_2	Family	1	43	45.0	24.9	1.5e-05	1	CL0520
LEF1	9	213	9	213	PF08347.14	CTNNB1_binding	Family	1	209	209.0	296.6	1.4e-88	1	No_clan
LEF1	299	366	299	367	PF00505.22	HMG_box	Domain	1	68	69.0	77.5	8.6e-22	1	CL0114
LCE5A	1	34	1	34	PF14672.9	LCE	Family	1	36	99.0	35.8	1.2e-08	1	No_clan
LCE5A	29	111	28	111	PF14672.9	LCE	Family	18	99	99.0	96.2	1.8e-27	1	No_clan
KRT81	4	102	1	102	PF16208.8	Keratin_2_head	Family	72	161	161.0	49.9	4e-13	1	No_clan
KRT81	105	416	105	416	PF00038.24	Filament	Coiled-coil	1	312	312.0	327.8	8.9e-98	1	No_clan
LAMA3	48	297	47	297	PF00055.20	Laminin_N	Domain	2	233	233.0	239.7	3.1e-71	1	CL0202
LAMA3	356	412	356	423	PF00053.27	Laminin_EGF	Domain	1	41	49.0	25.4	1.3e-05	1	CL0001
LAMA3	426	465	426	469	PF00053.27	Laminin_EGF	Domain	1	42	49.0	28.7	1.1e-06	1	CL0001
LAMA3	491	531	491	535	PF00053.27	Laminin_EGF	Domain	1	42	49.0	34.0	2.5e-08	1	CL0001
LAMA3	536	581	536	586	PF00053.27	Laminin_EGF	Domain	1	44	49.0	37.4	2.2e-09	1	CL0001
LAMA3	631	681	631	681	PF00053.27	Laminin_EGF	Domain	1	49	49.0	30.4	3.5e-07	1	CL0001
LAMA3	684	722	684	729	PF00053.27	Laminin_EGF	Domain	1	39	49.0	22.8	8.2e-05	1	CL0001
LAMA3	1266	1314	1266	1314	PF00053.27	Laminin_EGF	Domain	1	49	49.0	39.5	5.1e-10	1	CL0001
LAMA3	1356	1401	1356	1404	PF00053.27	Laminin_EGF	Domain	1	43	49.0	38.1	1.4e-09	1	CL0001
LAMA3	1405	1453	1405	1453	PF00053.27	Laminin_EGF	Domain	1	49	49.0	34.1	2.5e-08	1	CL0001
LAMA3	1518	1652	1517	1652	PF00052.21	Laminin_B	Domain	2	136	136.0	106.2	1.3000000000000001e-30	1	CL0202
LAMA3	1654	1677	1650	1684	PF00053.27	Laminin_EGF	Domain	20	43	49.0	15.5	0.015	1	CL0001
LAMA3	1687	1731	1687	1731	PF00053.27	Laminin_EGF	Domain	1	49	49.0	30.6	3e-07	1	CL0001
LAMA3	1734	1784	1734	1784	PF00053.27	Laminin_EGF	Domain	1	49	49.0	29.2	8.1e-07	1	CL0001
LAMA3	1847	2105	1847	2105	PF06008.17	Laminin_I	Coiled-coil	1	259	259.0	307.8	7.9e-92	1	No_clan
LAMA3	2288	2416	2288	2416	PF06009.15	Laminin_II	Coiled-coil	1	138	138.0	131.4	2.3e-38	1	No_clan
LAMA3	2436	2563	2431	2570	PF02210.27	Laminin_G_2	Domain	10	119	126.0	24.1	4.7e-05	1	CL0004
LAMA3	2627	2742	2626	2745	PF02210.27	Laminin_G_2	Domain	2	122	126.0	51.1	2.1e-13	1	CL0004
LAMA3	2797	2902	2797	2904	PF02210.27	Laminin_G_2	Domain	1	124	126.0	30.9	3.8e-07	1	CL0004
LAMA3	3017	3135	3016	3136	PF02210.27	Laminin_G_2	Domain	2	125	126.0	70.3	2.4e-19	1	CL0004
LAMA3	3187	3310	3186	3311	PF02210.27	Laminin_G_2	Domain	2	125	126.0	75.5	5.7e-21	1	CL0004
KRT34	97	408	97	408	PF00038.24	Filament	Coiled-coil	1	312	312.0	349.4	2.4e-104	1	No_clan
LAMB2	47	281	47	281	PF00055.20	Laminin_N	Domain	1	233	233.0	258.2	7.1e-77	1	CL0202
LAMB2	283	336	283	344	PF00053.27	Laminin_EGF	Domain	1	46	49.0	26.6	5.2e-06	1	CL0001
LAMB2	347	402	347	407	PF00053.27	Laminin_EGF	Domain	1	44	49.0	35.5	9.1e-09	1	CL0001
LAMB2	410	467	410	467	PF00053.27	Laminin_EGF	Domain	1	49	49.0	39.3	5.9e-10	1	CL0001
LAMB2	470	516	470	519	PF00053.27	Laminin_EGF	Domain	1	45	49.0	37.0	3.1e-09	1	CL0001
LAMB2	522	561	522	565	PF00053.27	Laminin_EGF	Domain	1	40	49.0	36.2	5.4e-09	1	CL0001
LAMB2	783	828	783	828	PF00053.27	Laminin_EGF	Domain	1	49	49.0	48.3	8.6e-13	1	CL0001
LAMB2	831	874	831	876	PF00053.27	Laminin_EGF	Domain	1	44	49.0	35.1	1.2e-08	1	CL0001
LAMB2	877	924	877	924	PF00053.27	Laminin_EGF	Domain	1	49	49.0	31.6	1.5e-07	1	CL0001
LAMB2	927	983	927	983	PF00053.27	Laminin_EGF	Domain	1	49	49.0	27.7	2.5e-06	1	CL0001
LAMB2	986	1035	986	1035	PF00053.27	Laminin_EGF	Domain	1	49	49.0	34.1	2.4e-08	1	CL0001
LAMB2	1038	1092	1038	1092	PF00053.27	Laminin_EGF	Domain	1	49	49.0	33.5	3.6e-08	1	CL0001
LAMB2	1095	1136	1095	1141	PF00053.27	Laminin_EGF	Domain	1	42	49.0	33.6	3.5e-08	1	CL0001
